Player,Tm,G,Int,Solo,Season,PlayerID
Jordyn Brooks,SEA,17,0,109,2021,Player_2045
C.J. Mosley,NYJ,16,0,103,2021,Player_1630
De'Vondre Campbell,GNB,16,2,102,2021,Player_0843
Foyesade Oluokun,ATL,17,3,102,2021,Player_0124
Denzel Perryman,LVR,15,0,102,2021,Player_1717
Roquan Smith,CHI,17,1,95,2021,Player_0429
Bobby Wagner,SEA,16,1,93,2021,Player_2104
Kyzir White,LAC,17,2,90,2021,Player_1957
Bobby Okereke,IND,17,2,89,2021,Player_1034
Deion Jones,ATL,16,0,87,2021,Player_0109
Devin White,TAM,17,0,87,2021,Player_2246
Minkah Fitzpatrick,PIT,16,2,84,2021,Player_1834
Cole Holcomb,WAS,16,2,83,2021,Player_2375
Harrison Smith,MIN,15,1,83,2021,Player_1334
Kenny Moore,IND,17,4,82,2021,Player_1027
Eric Kendricks,MIN,15,2,81,2021,Player_1317
Alex Singleton,PHI,16,1,81,2021,Player_1796
Jalen Thompson,ARI,17,3,79,2021,Player_0060
Fred Warner,SFO,16,0,79,2021,Player_2029
Logan Ryan,NYG,15,0,77,2021,Player_1561
Adrian Amos,GNB,17,2,75,2021,Player_0833
Jeremy Chinn,CAR,16,1,75,2021,Player_0297
Jordan Hicks,ARI,17,0,75,2021,Player_0029
Derwin James,LAC,15,2,75,2021,Player_1922
Shaquille Leonard,IND,16,4,75,2021,Player_1023
Tracy Walker,DET,15,1,74,2021,Player_0823
Quincy Williams,NYJ,16,0,73,2021,Player_1658
Xavier Woods,MIN,17,3,72,2021,Player_1349
Kamu Grugier-Hill,HOU,14,1,71,2021,Player_0930
Nick Bolton,KAN,16,0,70,2021,Player_1147
Demario Davis,NOR,16,0,70,2021,Player_1432
Kyle Dugger,NWE,15,4,70,2021,Player_1371
Tremaine Edmunds,BUF,15,1,70,2021,Player_0240
Joe Schobert,PIT,16,1,70,2021,Player_1870
Isaiah Simmons,ARI,17,1,70,2021,Player_0056
Nasir Adderley,LAC,15,0,69,2021,Player_1888
Anthony Walker,CLE,13,0,69,2021,Player_0593
Ja'Whaun Bentley,NWE,16,0,68,2021,Player_1358
Desmond King,HOU,16,3,68,2021,Player_0943
Patrick Queen,BAL,17,0,68,2021,Player_0196
Jessie Bates III,CIN,15,1,67,2021,Player_0449
Jayron Kearse,DAL,16,2,67,2021,Player_0637
Quandre Diggs,SEA,17,5,66,2021,Player_2054
Bryce Hall,NYJ,17,0,66,2021,Player_1609
Jordan Poyer,BUF,16,5,66,2021,Player_0271
Shaq Thompson,CAR,14,2,65,2021,Player_0361
Johnathan Abram,LVR,14,1,64,2021,Player_1664
Vonn Bell,CIN,16,1,64,2021,Player_0450
Tae Crowder,NYG,17,2,64,2021,Player_1515
T.J. Edwards,PHI,16,1,64,2021,Player_1754
Kendall Fuller,WAS,16,1,64,2021,Player_2367
Micah Parsons,DAL,16,0,64,2021,Player_0650
Taylor Rapp,LAR,17,4,64,2021,Player_2165
Budda Baker,ARI,17,3,63,2021,Player_0003
Lavonte David,TAM,12,0,63,2021,Player_2196
Terrell Edmunds,PIT,17,2,63,2021,Player_1831
Jordan Fuller,LAR,16,1,63,2021,Player_2125
Jerome Baker,MIA,16,1,62,2021,Player_1209
Kamren Curl,WAS,16,0,62,2021,Player_2358
Will Harris,DET,17,0,62,2021,Player_0775
Foyesade Oluokun,JAX,17,0,128,2022,Player_3488
Nick Bolton,KAN,17,2,108,2022,Player_3511
Jordyn Brooks,SEA,16,0,103,2022,Player_4344
Roquan Smith,2TM,17,3,103,2022,Player_2632
Zaire Franklin,IND,17,0,102,2022,Player_3396
Alex Singleton,DEN,17,0,101,2022,Player_3142
T.J. Edwards,PHI,17,0,99,2022,Player_4087
C.J. Mosley,NYJ,17,1,99,2022,Player_3973
Bobby Okereke,IND,17,0,99,2022,Player_3421
Jalen Pitre,HOU,17,5,99,2022,Player_3360
Drue Tranquill,LAC,17,1,95,2022,Player_4263
Eric Kendricks,MIN,17,0,87,2022,Player_3677
Rashaan Evans,ATL,17,0,86,2022,Player_2526
Jordan Hicks,MIN,17,1,86,2022,Player_3667
Cody Barton,SEA,17,2,84,2022,Player_4340
Jonathan Owens,HOU,17,0,84,2022,Player_3357
Nicholas Morrow,CHI,17,1,83,2022,Player_2841
Logan Wilson,CIN,15,1,83,2022,Player_2933
Dre Greenlaw,SFO,15,1,82,2022,Player_4288
Christian Kirksey,HOU,17,2,82,2022,Player_3346
Bobby Wagner,LAR,17,2,81,2022,Player_4481
Lavonte David,TAM,17,0,80,2022,Player_4496
Julian Love,NYG,16,2,79,2022,Player_3901
Patrick Queen,BAL,17,2,79,2022,Player_2627
Jalen Thompson,ARI,17,1,79,2022,Player_2493
Fred Warner,SFO,17,1,79,2022,Player_4329
Shaq Thompson,CAR,17,0,78,2022,Player_2786
Alex Anzalone,DET,17,1,77,2022,Player_3162
Jevon Holland,MIA,17,2,77,2022,Player_3600
Donovan Wilson,DAL,17,1,77,2022,Player_3078
Frankie Luvu,CAR,15,1,76,2022,Player_2764
Budda Baker,ARI,15,2,75,2022,Player_2429
L'Jarius Sneed,KAN,17,3,75,2022,Player_3558
Quay Walker,GNB,17,0,75,2022,Player_3295
Quincy Williams,NYJ,15,0,74,2022,Player_3994
Adrian Amos,GNB,17,1,73,2022,Player_3241
Jaquan Brisker,CHI,15,1,73,2022,Player_2802
DeShon Elliott,DET,14,1,73,2022,Player_3182
Rayshawn Jenkins,JAX,17,3,73,2022,Player_3472
Devin White,TAM,17,0,73,2022,Player_4550
Grant Delpit,CLE,17,4,72,2022,Player_2952
Matt Milano,BUF,15,3,72,2022,Player_2704
Marcus Epps,PHI,17,0,70,2022,Player_4090
Richie Grant,ATL,17,2,70,2022,Player_2533
Josey Jewell,DEN,13,2,70,2022,Player_3116
John Johnson,CLE,17,1,70,2022,Player_2974
Roger McCreary,TEN,17,1,70,2022,Player_4605
Kevin Byard,TEN,17,4,69,2022,Player_4565
Rasul Douglas,GNB,17,4,69,2022,Player_3255
Jamin Davis,WAS,16,0,68,2022,Player_4656
Elandon Roberts,MIA,17,,68,2022,Player_3621
Isaiah Simmons,ARI,17,2,68,2022,Player_2488
Taron Johnson,BUF,16,1,67,2022,Player_2688
Jerome Baker,MIA,17,0,66,2022,Player_3576
Tremaine Edmunds,BUF,13,1,66,2022,Player_2671
Talanoa Hufanga,SFO,17,4,66,2022,Player_4290
Ernest Jones,LAR,17,1,66,2022,Player_4448
Harrison Smith,MIN,14,5,66,2022,Player_3698
Kyzir White,PHI,17,0,66,2022,Player_4132
Derwin James,LAC,14,2,64,2022,Player_4229
Foyesade Oluokun,JAX,15,1,105,2023,Player_5655
Zaire Franklin,IND,14,0,97,2023,Player_5558
Alex Singleton,DEN,15,0,94,2023,Player_5331
Bobby Wagner,SEA,15,0,88,2023,Player_6476
Quincy Williams,NYJ,15,1,87,2023,Player_6105
Camryn Bynum,MIN,15,2,85,2023,Player_5807
Bobby Okereke,NYG,15,2,85,2023,Player_6024
T.J. Edwards,CHI,15,2,82,2023,Player_5052
Roquan Smith,BAL,15,0,81,2023,Player_4885
Fred Warner,SFO,15,4,80,2023,Player_6414
Kenneth Murray,LAC,15,1,78,2023,Player_6337
Lavonte David,TAM,13,0,77,2023,Player_6550
Jessie Bates III,ATL,15,6,76,2023,Player_4783
Azeez Al-Shaair,TEN,15,0,75,2023,Player_6604
Patrick Queen,BAL,15,1,75,2023,Player_4880
Kaden Elliss,ATL,15,0,74,2023,Player_4790
C.J. Mosley,NYJ,15,1,74,2023,Player_6090
Logan Wilson,CIN,15,3,74,2023,Player_5148
Terrel Bernard,BUF,15,3,73,2023,Player_4918
Alex Anzalone,DET,14,0,72,2023,Player_5352
Derwin James,LAC,14,1,72,2023,Player_6325
Xavier McKinney,NYG,15,1,72,2023,Player_6021
Robert Spillane,LVR,15,3,72,2023,Player_6170
Julian Love,SEA,15,4,71,2023,Player_6459
Dre Greenlaw,SFO,14,0,69,2023,Player_6390
Amani Hooker,TEN,13,1,69,2023,Player_6665
Kamren Curl,WAS,15,0,68,2023,Player_6687
Devin Lloyd,JAX,13,0,68,2023,Player_5651
Antoine Winfield Jr.,TAM,15,3,68,2023,Player_6597
Reed Blankenship,PHI,13,2,67,2023,Player_6184
Demario Davis,NOR,15,0,67,2023,Player_5936
Ernest Jones,LAR,14,0,67,2023,Player_6515
Eric Kendricks,LAC,13,0,67,2023,Player_6330
Josh Metellus,MIN,15,1,67,2023,Player_5827
Justin Reid,KAN,15,1,67,2023,Player_5712
Elandon Roberts,PIT,15,0,67,2023,Player_6283
Kenny Moore,IND,15,3,66,2023,Player_5577
Julian Blackmon,IND,15,4,65,2023,Player_5602
Kevin Byard,2TM,14,1,65,2023,Player_6188
Taron Johnson,BUF,15,0,65,2023,Player_4937
Jeremiah Owusu-Koramoah,CLE,15,2,65,2023,Player_5195
Damone Clark,DAL,15,0,64,2023,Player_5236
Grant Delpit,CLE,13,1,63,2023,Player_5218
Kyle Dugger,NWE,15,2,63,2023,Player_5874
Kyle Hamilton,BAL,15,4,63,2023,Player_4860
Daxton Hill,CIN,15,2,63,2023,Player_5117
Myles Bryant,NWE,15,1,62,2023,Player_5870
Frankie Luvu,CAR,15,0,62,2023,Player_5003
Germaine Pratt,CIN,15,2,62,2023,Player_5133
Jordyn Brooks,SEA,15,1,61,2023,Player_6435
Tre'von Moehrig,LVR,15,2,60,2023,Player_6159
E.J. Speed,IND,14,0,60,2023,Player_5593
Rayshawn Jenkins,JAX,15,2,59,2023,Player_5640
Jason Pinnock,NYG,15,2,59,2023,Player_6029
Jordan Whitehead,NYJ,15,4,59,2023,Player_6104
Jaquan Brisker,CHI,13,1,58,2023,Player_5046
Quandre Diggs,SEA,15,1,58,2023,Player_6447
Tremaine Edmunds,CHI,13,4,58,2023,Player_5051
Kerby Joseph,DET,13,4,58,2023,Player_5376
D.J. Reed,NYJ,13,1,58,2023,Player_6092
