Team,Season,Spending,Avg Ticket Price,Attendance,Total Ticket Earning,NFL Payout,Total Profit/Loss
Arizona Cardinals,2021,"$191,127,625",$186 ,"10,90,961","$202,918,746","$200,000,000","$211,791,121 "
Atlanta Falcons,2021,"$185,499,791",$60 ,"11,73,982","$70,438,920","$200,000,000","$84,939,129 "
Baltimore Ravens,2021,"$182,781,957",$118 ,"11,41,157","$134,656,526","$200,000,000","$151,874,569 "
Buffalo Bills,2021,"$187,735,198",$65 ,"10,93,983","$71,108,895","$200,000,000","$83,373,697 "
Carolina Panthers,2021,"$181,771,931",$98 ,"12,02,133","$117,809,034","$200,000,000","$136,037,103 "
Chicago Bears,2021,"$188,749,384",$134 ,"10,79,841","$144,698,694","$200,000,000","$155,949,310 "
Cincinnati Bengals,2021,"$191,286,587",$157 ,"10,56,115","$165,810,055","$200,000,000","$174,523,468 "
Cleveland Browns,2021,"$202,441,273",$124 ,"10,92,573","$135,479,052","$200,000,000","$133,037,779 "
Dallas Cowboys,2021,"$205,327,031",$107 ,"13,66,866","$146,254,662","$200,000,000","$140,927,631 "
Denver Broncos,2021,"$188,343,846",$104 ,"12,43,881","$129,363,624","$200,000,000","$141,019,778 "
Detroit Lions,2021,"$196,592,545",$54 ,"10,27,002","$55,458,108","$200,000,000","$58,865,563 "
Green Bay Packers,2021,"$181,317,830",$180 ,"11,87,232","$213,701,760","$200,000,000","$232,383,930 "
Houston Texans,2021,"$186,825,534",$22 ,"11,14,558","$24,520,276","$200,000,000","$37,694,742 "
Indianapolis Colts,2021,"$187,317,746",$220 ,"10,81,420","$237,912,400","$200,000,000","$250,594,654 "
Jacksonville Jaguars,2021,"$180,473,269",$36 ,"10,70,491","$38,537,676","$200,000,000","$58,064,407 "
Kansas City Chiefs,2021,"$185,112,146",$196 ,"11,92,945","$233,817,220","$200,000,000","$248,705,074 "
Las Vegas Raiders,2021,"$189,930,974",$454 ,"10,68,732","$485,204,328","$200,000,000","$495,273,354 "
Los Angeles Chargers,2021,"$183,047,309",$150 ,"11,53,356","$173,003,400","$200,000,000","$189,956,091 "
Los Angeles Rams,2021,"$184,237,455",$170 ,"11,87,786","$201,923,620","$200,000,000","$217,686,165 "
Miami Dolphins,2021,"$195,163,942",$536 ,"11,10,828","$595,403,808","$200,000,000","$600,239,866 "
Minnesota Vikings,2021,"$188,620,675",$82 ,"11,18,294","$91,700,108","$200,000,000","$103,079,433 "
New England Patriots,2021,"$200,573,159",$276 ,"11,50,306","$317,484,456","$200,000,000","$316,911,297 "
New Orleans Saints,2021,"$185,212,258",$69 ,"11,17,104","$77,080,176","$200,000,000","$91,867,918 "
New York Giants,2021,"$182,521,051",$83 ,"12,07,885","$100,254,455","$200,000,000","$117,733,404 "
New York Jets,2021,"$205,736,640",$41 ,"11,73,183","$48,500,503","$200,000,000","$42,363,863 "
Philadelphia Eagles,2021,"$189,181,452",$110 ,"11,77,614","$129,537,540","$200,000,000","$140,356,088 "
Pittsburgh Steelers,2021,"$175,907,130",$239 ,"11,03,916","$263,835,924","$200,000,000","$287,928,794 "
San Francisco 49ers,2021,"$195,101,014",$173 ,"11,09,442","$191,933,466","$200,000,000","$196,832,452 "
Seattle Seahawks,2021,"$172,703,125",$79 ,"11,41,021","$90,140,659","$200,000,000","$117,437,534 "
Tampa Bay Buccaneers,2021,"$181,119,199",$195 ,"10,67,169","$208,097,955","$200,000,000","$226,978,756 "
Tennessee Titans,2021,"$184,416,734",$143 ,"11,37,282","$162,631,326","$200,000,000","$178,214,592 "
Washington Commanders/Commanders,2021,"$193,566,718",$70 ,"10,81,126","$75,678,820","$200,000,000","$82,112,102 "
Arizona Cardinals,2022,"$204,825,664",$268 ,"11,41,794","$306,000,792","$249,000,000","$350,175,128 "
Atlanta Falcons,2022,"$201,717,487",$138 ,"11,67,681","$161,139,978","$249,000,000","$208,422,491 "
Baltimore Ravens,2022,"$204,617,520",$189 ,"11,85,526","$224,064,414","$249,000,000","$268,446,894 "
Buffalo Bills,2022,"$206,691,460",$224 ,"11,07,077","$247,985,248","$249,000,000","$290,293,788 "
Carolina Panthers,2022,"$202,249,051",$206 ,"12,01,413","$247,491,078","$249,000,000","$294,242,027 "
Chicago Bears,2022,"$204,696,905",$234 ,"11,31,267","$264,716,478","$249,000,000","$309,019,573 "
Cincinnati Bengals,2022,"$210,200,068",$309 ,"11,09,393","$342,802,437","$249,000,000","$381,602,369 "
Cleveland Browns,2022,"$186,513,983",$153 ,"11,18,849","$171,183,897","$249,000,000","$233,669,914 "
Dallas Cowboys,2022,"$215,338,768",$403 ,"14,09,563","$568,053,889","$249,000,000","$601,715,121 "
Denver Broncos,2022,"$210,892,216",$179 ,"12,51,020","$223,932,580","$249,000,000","$262,040,364 "
Detroit Lions,2022,"$214,423,875",$145 ,"11,57,336","$167,813,720","$249,000,000","$202,389,845 "
Green Bay Packers,2022,"$211,847,657",$232 ,"12,13,888","$281,622,016","$249,000,000","$318,774,359 "
Houston Texans,2022,"$212,666,643",$159 ,"11,63,275","$184,960,725","$249,000,000","$221,294,082 "
Indianapolis Colts,2022,"$205,811,217",$200 ,"11,63,736","$232,747,200","$249,000,000","$275,935,983 "
Jacksonville Jaguars,2022,"$231,233,180",$126 ,"11,30,728","$142,471,728","$249,000,000","$160,238,548 "
Kansas City Chiefs,2022,"$205,249,141",$371 ,"12,02,995","$446,311,145","$249,000,000","$490,062,004 "
Las Vegas Raiders,2022,"$199,666,719",$240 ,"11,25,946","$270,227,040","$249,000,000","$319,560,321 "
Los Angeles Chargers,2022,"$212,129,671",$191 ,"11,75,977","$224,611,607","$249,000,000","$261,481,936 "
Los Angeles Rams,2022,"$200,270,156",$417 ,"12,18,216","$507,996,072","$249,000,000","$556,725,916 "
Miami Dolphins,2022,"$208,559,442",$221 ,"11,52,651","$254,735,871","$249,000,000","$295,176,429 "
Minnesota Vikings,2022,"$208,790,359",$178 ,"11,30,867","$201,294,326","$249,000,000","$241,503,967 "
New England Patriots,2022,"$208,004,554",$243 ,"11,51,883","$279,907,569","$249,000,000","$320,903,015 "
New Orleans Saints,2022,"$206,828,041",$241 ,"11,68,868","$281,697,188","$249,000,000","$323,869,147 "
New York Giants,2022,"$203,667,109",$189 ,"12,43,963","$235,109,007","$249,000,000","$280,441,898 "
New York Jets,2022,"$202,470,545",$199 ,"12,51,761","$249,100,439","$249,000,000","$295,629,894 "
Philadelphia Eagles,2022,"$219,359,743",$187 ,"11,80,465","$220,746,955","$249,000,000","$250,387,212 "
Pittsburgh Steelers,2022,"$210,658,592",$273 ,"11,51,279","$314,299,167","$249,000,000","$352,640,575 "
San Francisco 49ers,2022,"$206,082,457",$724 ,"12,09,231","$875,483,244","$249,000,000","$918,400,787 "
Seattle Seahawks,2022,"$215,796,566",$161 ,"11,74,177","$189,042,497","$249,000,000","$222,245,931 "
Tampa Bay Buccaneers,2022,"$202,960,773",$144 ,"11,96,168","$172,248,192","$249,000,000","$218,287,419 "
Tennessee Titans,2022,"$209,793,874",$218 ,"11,66,846","$254,372,428","$249,000,000","$293,578,554 "
Washington Commanders/Commanders,2022,"$207,402,414",$98 ,"10,84,489","$106,279,922","$249,000,000","$147,877,508 "
Arizona Cardinals,2023,"$218,054,475",$220 ,"9,20,514","$202,513,080","$264,000,000","$248,458,605 "
Atlanta Falcons,2023,"$222,785,800",$196 ,"9,75,371","$191,172,716","$264,000,000","$232,386,916 "
Baltimore Ravens,2023,"$217,454,195",$273 ,"9,57,371","$261,362,283","$264,000,000","$307,908,088 "
Buffalo Bills,2023,"$224,916,563",$419 ,"10,46,136","$438,330,984","$264,000,000","$477,414,421 "
Carolina Panthers,2023,"$233,200,608",$292 ,"9,56,808","$279,387,936","$264,000,000","$310,187,328 "
Chicago Bears,2023,"$227,406,500",$364 ,"9,11,573","$331,812,572","$264,000,000","$368,406,072 "
Cincinnati Bengals,2023,"$215,259,882",$294 ,"10,05,266","$295,548,204","$264,000,000","$344,288,322 "
Cleveland Browns,2023,"$219,603,689",$228 ,"9,63,883","$219,765,324","$264,000,000","$264,161,635 "
Dallas Cowboys,2023,"$222,251,224",$497 ,"11,54,960","$574,015,120","$264,000,000","$615,763,896 "
Denver Broncos,2023,"$233,579,349",$314 ,"10,13,067","$318,103,038","$264,000,000","$348,523,689 "
Detroit Lions,2023,"$223,840,272",$302 ,"9,46,353","$285,798,606","$264,000,000","$325,958,334 "
Green Bay Packers,2023,"$221,951,494",$384 ,"10,26,337","$394,113,408","$264,000,000","$436,161,914 "
Houston Texans,2023,"$226,179,056",$216 ,"9,76,663","$210,959,208","$264,000,000","$248,780,152 "
Indianapolis Colts,2023,"$224,246,266",$253 ,"9,13,045","$231,000,385","$264,000,000","$270,754,119 "
Jacksonville Jaguars,2023,"$219,583,210",$242 ,"9,57,377","$231,685,234","$264,000,000","$276,102,024 "
Kansas City Chiefs,2023,"$217,160,347",$577 ,"9,90,528","$571,534,656","$264,000,000","$618,374,309 "
Las Vegas Raiders,2023,"$224,535,023",$570 ,"9,10,594","$519,038.58","$264,000,000","$39,984,016 "
Los Angeles Chargers,2023,"$222,805,235",$343 ,"10,46,437","$358,927,891","$264,000,000","$400,122,656 "
Los Angeles Rams,2023,"$216,907,461",$320 ,"10,87,908","$348,130,560","$264,000,000","$395,223,099 "
Miami Dolphins,2023,"$223,244,497",$442 ,"9,32,685","$412,246,770","$264,000,000","$453,002,273 "
Minnesota Vikings,2023,"$214,822,521",$329 ,"9,59,939","$315,819,931","$264,000,000","$364,997,410 "
New England Patriots,2023,"$220,696,728",$551 ,"9,53,543","$525,402,193","$264,000,000","$568,705,465 "
New Orleans Saints,2023,"$221,469,883",$237 ,"10,53,036","$249,569,532","$264,000,000","$292,099,649 "
New York Giants,2023,"$222,999,063",$358 ,"10,41,216","$372,755,328","$264,000,000","$413,756,265 "
New York Jets,2023,"$222,141,967",$410 ,"10,85,937","$445,234,170","$264,000,000","$487,092,203 "
Philadelphia Eagles,2023,"$233,332,153",$523 ,"10,08,248","$527,313,704","$264,000,000","$557,981,551 "
Pittsburgh Steelers,2023,"$226,492,317",$392 ,"10,07,387","$394,895,704","$264,000,000","$432,403,387 "
San Francisco 49ers,2023,"$198,652,309",$410 ,"9,78,455","$401,166,550","$264,000,000","$466,514,241 "
Seattle Seahawks,2023,"$214,475,758",$354 ,"10,01,117","$354,395,418","$264,000,000","$403,919,660 "
Tampa Bay Buccaneers,2023,"$223,935,758",$234 ,"9,42,763","$220,606,542","$264,000,000","$260,670,784 "
Tennessee Titans,2023,"$221,559,190",$247 ,"9,21,928","$227,716,216","$264,000,000","$270,157,026 "
Washington Commanders/Commanders,2023,"$216,147,179",$280 ,"9,80,211","$274,459,080","$264,000,000","$322,311,901 "
